date,close,open,signal,position,asset_return,signal_return
2021-10-06,55321.6,51460.22,1.0,1.0,0.07514276519032492,0.03757138259516246
2021-10-07,53814.99,55327.45,1.0,1.0,-0.027233666416011104,-0.027233666416011104
2021-10-08,53975.0,53814.99,1.0,1.0,0.002973335124655918,0.002973335124655918
2021-10-09,54960.77,53974.99,1.0,1.0,0.018263455303381138,0.018263455303381138
2021-10-10,54700.0,54960.79,1.0,1.0,-0.004744656961683691,-0.004744656961683691
2021-10-11,57500.01,54700.0,1.0,1.0,0.05118848263254128,0.05118848263254128
2021-10-12,56011.84,57500.01,1.0,1.0,-0.025881212890223937,-0.025881212890223937
2021-10-13,57393.65,56011.83,1.0,1.0,0.024669962636471254,0.024669962636471254
2021-10-14,57378.19,57393.65,1.0,1.0,-0.00026936777849118076,-0.00026936777849118076
2021-10-15,61702.33,57377.12,1.0,1.0,0.07536208444358383,0.07536208444358383
2021-10-16,60925.56,61702.33,1.0,1.0,-0.012588989751278534,-0.012588989751278534
